Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min
1,0.0,0.0,0.0,37.0,37.0,37.0,37.0,0.1,25.405000000000012,0.0,1.0,0.005028724670410156,,,,,,,,,,,,,,,,,,,,,9.763099259985552,8.685070946152283,25.09392808963171,0.001,,,,
2,37.0,0.0,0.0,61.0,61.0,24.0,61.0,0.1,8.605999999999995,0.0,1.0,32.08988404273987,,,,,,,,,,,,,,,,,,,,,2.4041486311643716,2.880666512295565,8.565422712855051,0.001,,,,
3,61.0,0.0,0.0,112.0,112.0,51.0,112.0,0.1,24.10600000000003,0.0,1.0,70.6571638584137,,,,,,,,,,,,,,,,,,,,,8.76247321851156,6.889642550024148,23.706503165684115,0.001,,,,
4,112.0,0.0,0.0,139.0,139.0,27.0,139.0,0.1,13.505999999999995,0.0,1.0,121.92429780960083,,,,,,,,,,,,,,,,,,,,,4.262159716648118,4.7131253695603545,13.417743757421588,0.001,,,,
5,139.0,0.0,0.0,176.0,176.0,37.0,176.0,0.1,24.006000000000014,0.0,0.0,158.85790991783142,,,,,,,,,,,,,,,,,,,,,8.771389652706432,8.278275165743342,23.728892639235696,0.001,,,,
6,176.0,0.0,0.0,208.0,208.0,32.0,208.0,0.1,16.507000000000016,0.0,1.0,205.99302506446838,,,,,,,,,,,,,,,,,,,,,5.502293302630649,5.6757636552502015,16.363637525729754,0.001,,,,
7,208.0,0.0,0.0,236.0,236.0,28.0,236.0,0.1,16.905000000000012,0.0,1.0,246.40298891067505,,,,,,,,,,,,,,,,,,,,,6.061934290648737,5.941204171822768,16.76878664436392,0.001,,,,
8,236.0,0.0,0.0,292.0,292.0,56.0,292.0,0.1,24.50500000000004,0.0,1.0,291.05611538887024,,,,,,,,,,,,,,,,,,,,,6.726709429195964,7.673296919387627,24.176633362055778,0.001,,,,
9,292.0,0.0,0.0,330.0,330.0,38.0,330.0,0.1,20.60900000000002,0.0,1.0,350.62619614601135,,,,,,,,,,,,,,,,,,,,,6.484861840616334,7.087901915813792,20.403361569834683,0.001,,,,
10,330.0,0.0,0.0,369.0,369.0,39.0,369.0,0.1,15.306999999999993,0.0,0.0,396.4660499095917,,,,,,,,,,,,,,,,,,,,,4.73238892870353,4.838281520816599,15.152727133320077,0.001,,,,
